#WEBOTS_MOTION,V1.0,LShoulderPitch,LShoulderRoll,LElbowYaw,LElbowRoll,LHipYawPitch,LHipRoll,LHipPitch,LKneePitch,LAnklePitch,LAnkleRoll,RHipYawPitch,RHipRoll,RHipPitch,RKneePitch,RAnklePitch,RAnkleRoll,RShoulderPitch,RShoulderRoll,RElbowYaw,RElbowRoll
7.12,Pose90,1.745,0.349,-1.396,-1.396,-0.089,-0.185,-0.387,0.967,-0.501,0.273,-0.089,-0.286,-0.551,1.191,-0.561,0.282,1.745,-0.349,1.396,1.396
7.2,Pose91,1.745,0.349,-1.396,-1.396,-0.057,-0.174,-0.417,0.965,-0.495,0.261,-0.057,-0.27,-0.532,1.12,-0.534,0.268,1.745,-0.349,1.396,1.396
7.28,Pose92,1.745,0.349,-1.396,-1.396,-0.03,-0.186,-0.442,0.964,-0.491,0.246,-0.03,-0.251,-0.51,1.053,-0.512,0.25,1.745,-0.349,1.396,1.396
7.36,Pose93,1.745,0.349,-1.396,-1.396,-0.005,-0.208,-0.472,0.972,-0.492,0.217,-0.005,-0.218,-0.487,0.988,-0.493,0.218,1.745,-0.349,1.396,1.396
7.44,Pose94,1.745,0.349,-1.396,-1.396,0,-0.191,-0.488,0.985,-0.497,0.192,0,-0.192,-0.488,0.985,-0.496,0.192,1.745,-0.349,1.396,1.396
7.52,Pose95,1.745,0.349,-1.396,-1.396,0,-0.159,-0.5,1.005,-0.505,0.159,0,-0.159,-0.5,1.005,-0.505,0.159,1.745,-0.349,1.396,1.396
7.6,Pose96,1.745,0.349,-1.396,-1.396,0,-0.095,-0.517,1.035,-0.518,0.095,0,-0.095,-0.516,1.035,-0.518,0.095,1.745,-0.349,1.396,1.396
7.68,Pose97,1.745,0.349,-1.396,-1.396,0,-0.043,-0.524,1.048,-0.524,0.043,0,-0.043,-0.524,1.048,-0.524,0.043,1.745,-0.349,1.396,1.396
7.76,Pose98,1.745,0.349,-1.396,-1.396,0,0.012,-0.526,1.051,-0.525,-0.012,0,0.013,-0.526,1.051,-0.525,-0.013,1.745,-0.349,1.396,1.396
7.84,Pose99,1.745,0.349,-1.396,-1.396,0,0.094,-0.518,1.037,-0.519,-0.094,0,0.094,-0.518,1.037,-0.518,-0.094,1.745,-0.349,1.396,1.396
7.92,Pose100,1.745,0.349,-1.396,-1.396,0,0.142,-0.508,1.017,-0.51,-0.142,0,0.142,-0.507,1.017,-0.51,-0.142,1.745,-0.349,1.396,1.396
8,Pose101,1.745,0.349,-1.396,-1.396,0,0.181,-0.495,0.994,-0.499,-0.181,0,0.181,-0.494,0.994,-0.499,-0.181,1.745,-0.349,1.396,1.396
8.08,Pose102,1.745,0.349,-1.396,-1.396,-0.012,0.224,-0.493,0.997,-0.5,-0.224,-0.012,0.213,-0.474,0.964,-0.486,-0.222,1.745,-0.349,1.396,1.396
8.16,Pose103,1.745,0.349,-1.396,-1.396,-0.031,0.247,-0.508,1.039,-0.516,-0.247,-0.031,0.204,-0.457,0.954,-0.483,-0.242,1.745,-0.349,1.396,1.396
8.24,Pose104,1.745,0.349,-1.396,-1.396,-0.057,0.266,-0.53,1.103,-0.541,-0.265,-0.057,0.179,-0.436,0.951,-0.483,-0.258,1.745,-0.349,1.396,1.396
8.32,Pose105,1.745,0.349,-1.396,-1.396,-0.108,0.289,-0.56,1.211,-0.585,-0.287,-0.108,0.187,-0.4,0.957,-0.491,-0.275,1.745,-0.349,1.396,1.396
8.4,Pose106,1.745,0.349,-1.396,-1.396,-0.147,0.301,-0.568,1.274,-0.613,-0.296,-0.147,0.193,-0.37,0.963,-0.499,-0.283,1.745,-0.349,1.396,1.396
8.48,Pose107,1.745,0.349,-1.396,-1.396,-0.211,0.314,-0.552,1.334,-0.642,-0.303,-0.211,0.197,-0.318,0.971,-0.514,-0.29,1.745,-0.349,1.396,1.396
8.56,Pose108,1.745,0.349,-1.396,-1.396,-0.254,0.32,-0.523,1.344,-0.65,-0.303,-0.254,0.195,-0.278,0.973,-0.524,-0.291,1.745,-0.349,1.396,1.396
8.64,Pose109,1.745,0.349,-1.396,-1.396,-0.297,0.323,-0.479,1.327,-0.646,-0.299,-0.297,0.189,-0.236,0.971,-0.532,-0.29,1.745,-0.349,1.396,1.396
8.72,Pose110,1.745,0.349,-1.396,-1.396,-0.338,0.324,-0.426,1.287,-0.629,-0.292,-0.338,0.18,-0.193,0.965,-0.54,-0.286,1.745,-0.349,1.396,1.396
8.8,Pose111,1.745,0.349,-1.396,-1.396,-0.394,0.32,-0.336,1.193,-0.585,-0.276,-0.394,0.16,-0.133,0.954,-0.549,-0.274,1.745,-0.349,1.396,1.396
8.88,Pose112,1.745,0.349,-1.396,-1.396,-0.424,0.313,-0.278,1.121,-0.548,-0.261,-0.424,0.143,-0.099,0.948,-0.553,-0.263,1.745,-0.349,1.396,1.396
8.96,Pose113,1.745,0.349,-1.396,-1.396,-0.449,0.303,-0.227,1.053,-0.512,-0.243,-0.449,0.15,-0.073,0.945,-0.557,-0.248,1.745,-0.349,1.396,1.396
9.04,Pose114,1.745,0.349,-1.396,-1.396,-0.473,0.278,-0.178,0.987,-0.478,-0.211,-0.473,0.165,-0.056,0.951,-0.563,-0.219,1.745,-0.349,1.396,1.396
9.12,Pose115,1.745,0.349,-1.396,-1.396,-0.477,0.254,-0.168,0.983,-0.479,-0.185,-0.477,0.145,-0.061,0.964,-0.566,-0.194,1.745,-0.349,1.396,1.396
9.2,Pose116,1.745,0.349,-1.396,-1.396,-0.478,0.22,-0.172,1.002,-0.496,-0.152,-0.478,0.113,-0.082,0.986,-0.568,-0.163,1.745,-0.349,1.396,1.396
9.28,Pose117,1.745,0.349,-1.396,-1.396,-0.478,0.152,-0.174,1.03,-0.524,-0.088,-0.478,0.047,-0.12,1.021,-0.568,-0.1,1.745,-0.349,1.396,1.396
9.36,Pose118,1.745,0.349,-1.396,-1.396,-0.478,0.097,-0.168,1.042,-0.542,-0.036,-0.478,-0.007,-0.144,1.037,-0.562,-0.049,1.745,-0.349,1.396,1.396
9.44,Pose119,1.745,0.349,-1.396,-1.396,-0.478,0.039,-0.155,1.043,-0.557,0.019,-0.478,-0.065,-0.162,1.044,-0.551,0.006,1.745,-0.349,1.396,1.396
9.52,Pose120,1.745,0.349,-1.396,-1.396,-0.478,-0.046,-0.122,1.023,-0.568,0.1,-0.478,-0.151,-0.175,1.033,-0.525,0.087,1.745,-0.349,1.396,1.396
9.6,Pose121,1.745,0.349,-1.396,-1.396,-0.478,-0.095,-0.096,1,-0.569,0.146,-0.478,-0.202,-0.176,1.015,-0.505,0.135,1.745,-0.349,1.396,1.396
9.68,Pose122,1.745,0.349,-1.396,-1.396,-0.476,-0.15,-0.058,0.96,-0.565,0.199,-0.476,-0.26,-0.169,0.984,-0.477,0.19,1.745,-0.349,1.396,1.396
9.76,Pose123,1.745,0.349,-1.396,-1.396,-0.466,-0.171,-0.042,0.938,-0.561,0.224,-0.466,-0.289,-0.18,0.993,-0.478,0.218,1.745,-0.349,1.396,1.396
9.84,Pose124,1.745,0.349,-1.396,-1.396,-0.448,-0.166,-0.041,0.925,-0.556,0.244,-0.448,-0.31,-0.209,1.035,-0.497,0.242,1.745,-0.349,1.396,1.396
9.92,Pose125,1.745,0.349,-1.396,-1.396,-0.408,-0.148,-0.066,0.922,-0.55,0.267,-0.408,-0.331,-0.282,1.134,-0.545,0.271,1.745,-0.349,1.396,1.396
10,Pose126,1.745,0.349,-1.396,-1.396,-0.374,-0.165,-0.096,0.928,-0.547,0.278,-0.374,-0.337,-0.34,1.205,-0.579,0.285,1.745,-0.349,1.396,1.396
10.08,Pose127,1.745,0.349,-1.396,-1.396,-0.316,-0.183,-0.156,0.943,-0.541,0.289,-0.316,-0.339,-0.428,1.293,-0.617,0.3,1.745,-0.349,1.396,1.396
10.16,Pose128,1.745,0.349,-1.396,-1.396,-0.274,-0.191,-0.201,0.953,-0.535,0.292,-0.274,-0.335,-0.48,1.327,-0.628,0.305,1.745,-0.349,1.396,1.396
10.24,Pose129,1.745,0.349,-1.396,-1.396,-0.231,-0.196,-0.247,0.962,-0.529,0.293,-0.231,-0.328,-0.521,1.337,-0.628,0.306,1.745,-0.349,1.396,1.396
10.32,Pose130,1.745,0.349,-1.396,-1.396,-0.188,-0.197,-0.292,0.967,-0.521,0.29,-0.188,-0.319,-0.549,1.322,-0.618,0.304,1.745,-0.349,1.396,1.396
10.4,Pose131,1.745,0.349,-1.396,-1.396,-0.127,-0.192,-0.352,0.969,-0.509,0.282,-0.127,-0.301,-0.56,1.256,-0.587,0.293,1.745,-0.349,1.396,1.396
10.48,Pose132,1.745,0.349,-1.396,-1.396,-0.089,-0.184,-0.387,0.967,-0.501,0.273,-0.089,-0.286,-0.551,1.191,-0.561,0.282,1.745,-0.349,1.396,1.396
10.56,Pose133,1.745,0.349,-1.396,-1.396,-0.057,-0.174,-0.417,0.965,-0.495,0.261,-0.057,-0.27,-0.532,1.12,-0.534,0.268,1.745,-0.349,1.396,1.396
